"pedido_codigo","pedido_id","data_hora","origem","situacao","situacao_descricao","valor_total_pedido","rastreio_id","produto_id","produto_nome","produto_titulo","codigo_pai","derivacao_id","derivacao_codigo","derivacao_nome","categoria_id","categoria","quantidade","valor_unitario","valor_desconto","valor_item","valor_frete","link_produto"
"0012507907123","4373","2025-07-10 10:52:22-03","3","8","Entregue","0","4373","575","Calça Feminina  Boot Cut Corcel","Calça Feminina  Boot Cut Corcel","1779","2922","177942","42","8","Calça","1","287.7","0","287.7","0","calca-feminina-boot-cut-corcel"
"0012507009370","4374","2025-07-11 14:00:13-03","3","8","Entregue","287.7","4374","575","Calça Feminina  Boot Cut Corcel","Calça Feminina  Boot Cut Corcel","1779","2923","177944","44","8","Calça","1","287.7","0","287.7","0","calca-feminina-boot-cut-corcel"
"0012507434718","4375","2025-07-12 21:45:56-03","1","8","Entregue","287.7","4375","575","Calça Feminina  Boot Cut Corcel","Calça Feminina  Boot Cut Corcel","1779","2920","177938","38","8","Calça","1","287.7","0","287.7","0","calca-feminina-boot-cut-corcel"
"0012507570815","4376","2025-07-12 22:29:20-03","1","8","Entregue","297.7","4376","886","Bombacha Feminina Lara","Bombacha Feminina Lara","2028","4369","202836","36","45","Lançamentos","1","297.7","0","297.7","0","bombacha-feminina-lara"
"0012507092136","4377","2025-07-13 22:55:32-03","1","8","Entregue","273.32","4377","575","Calça Feminina  Boot Cut Corcel","Calça Feminina  Boot Cut Corcel","1779","2920","177938","38","8","Calça","1","287.7","14.38","273.32","0","calca-feminina-boot-cut-corcel"
"0012507490365","4378","2025-07-14 08:55:27-03","3","8","Entregue","0","4378","575","Calça Feminina  Boot Cut Corcel","Calça Feminina  Boot Cut Corcel","1779","2920","177938","38","8","Calça","1","287.7","0","287.7","0","calca-feminina-boot-cut-corcel"
"0012507822235","4379","2025-07-14 13:41:35-03","3","8","Entregue","0","4379","575","Calça Feminina  Boot Cut Corcel","Calça Feminina  Boot Cut Corcel","1779","2922","177942","42","8","Calça","1","287.7","36.95","250.75","0","calca-feminina-boot-cut-corcel"
"0012507822235","4379","2025-07-14 13:41:35-03","3","8","Entregue","0","4379","671","Jaqueta Feminina Bomber Paloma","Jaqueta Feminina Bomber Paloma","1864","3473","1864GGROSE","Rose - GG","39","Outlet","1","155.4","19.91","135.49","0","jaqueta-feminina-bomber-paloma"
"0012507822235","4379","2025-07-14 13:41:35-03","3","8","Entregue","0","4379","906","Saia Feminina Manuela","Saia Feminina Manuela","2041","4440","2041M","M","9","Saia","1","167.7","21.48","146.22","0","saia-feminina-manuela"
"0012507822235","4379","2025-07-14 13:41:35-03","3","8","Entregue","0","4379","908","Cropped Feminino Manuela","Cropped Feminino Manuela","2040","4446","2040G","G","6","Manga curta","1","137.7","17.64","120.06","0","cropped-feminino-manuela"
