"itemName","itemId","itemCategory","itemsViewed","itemsAddedToCart","itemsPurchased","itemRevenue"
"Colar Feminino Ellos Cabana","1966","Acessórios","47","2","1","129.899998"
"Colar Feminino Ellos Cabana","1969","Acessórios","25","1","1","129.899998"
"Colar Feminino Ellos Cabana","1967","Acessórios","13","1","1","129.899997"
"Colete Feminino Lia","1985","Outlet","70","3","1","119.900001"
"Passador de Lenço Bridão Cabana","2155","Lançamentos","201","6","2","119.599998"
"Pulseira Feminina Ellos Cabana","2020","Lançamentos","46","4","1","99.900001"
"	 Pulseira Laços Feminina Cabana","2070","Acessórios","33","2","1","99.900001"
"Pulseira Feminina Laços Cabana","1964","Acessórios","23","1","1","99.9"
"Camisola Cabana Kids","2148","Feminino","81","1","1","99.899999"
"Colar Feminino Choker Cabana","2034","Acessórios","34","1","1","99.899999"
"Pulseira Feminina Laços Cabana","1963","Acessórios","14","1","1","99.899998"
"Blusa Feminina Campo Primavera Canelada","1658","Outlet","102","2","1","99.800001"
"Lenço Feminino Cabana 67x68","2101","Lançamentos","57","1","1","79.9"
"Top Feminino Ana","1836","Feminino","56","4","1","79.799999"
"Top Feminino Alice","1885","Outlet","29","1","1","79.799999"
"Regata Feminina Amália","1802","Outlet","60","4","1","79.799998"
"Blusa Feminina  By Cabana","1652","Outlet","43","4","1","39.799999"
"Calça Feminina Boot Cut Júlia","1860","Feminino","411","13","0","0"
"Calça Montaria Andreza","2252","Lançamentos","384","5","0","0"
"Calça Feminina Boot Cut Amazona","1892","Feminino","321","5","0","0"
"Calça Comitiva BOOT CUT","1529","Outlet","297","3","0","0"
"Calça Feminina Wide Leg Geovanna","2261","Lançamentos","291","3","0","0"
"Calça Skinny Feminina Cabana Basic","2251","Lançamentos","289","3","0","0"
"Camisete Feminina Gateado","1498","Mais Vendidos","268","4","0","0"
"Calça Jeans Feminina Nobreza Cabana","1808","Feminino","256","4","0","0"
"Casaco Feminino soft cute","1756","Feminino","252","4","0","0"
"Calça Feminina Montaria Alice","1537","Mais Vendidos","243","7","0","0"
"Casaco Feminino Soft Maya","2115","Lançamentos","237","1","0","0"
"Casaco Feminino Soft Luma","2096","Lançamentos","231","5","0","0"
"Vestido Feminino Cristina","2223","Lançamentos","224","2","0","0"
"Bombacha Feminina Lara","2028","Lançamentos","202","3","0","0"
"Casaco Maxi Ted Feminino Rose","1929","Feminino","199","1","0","0"
"Cinto Feminino Country Rodeio","2265","Lançamentos","185","3","0","0"
"Vestido Feminino Hanna","2051","Outlet","184","8","0","0"
"Saia Feminina Melissa","2030","Lançamentos","178","3","0","0"
"Casaco Soft Meio Zíper Alana","2112","Lançamentos","169","0","0","0"
"Jaqueta Feminina AgroStar Cabana","1674","Feminino","164","0","0","0"
"Vestido Feminino Suzy","2023","Outlet","163","1","0","0"
"Camisete Feminina Núbia","2094","Mais Vendidos","160","7","0","0"
"Chemise Feminina Leves Galopes","1917","Outlet","159","3","0","0"
"Vestido Feminino Aline","1803","Outlet","158","7","0","0"
"Saia Feminina Country Franjas","1862","Outlet","156","0","0","0"
"Body Feminino Potros","1870","Feminino","155","3","0","0"
"Camisete Feminina Luz","2158","Lançamentos","153","3","0","0"
"Camisete Feminina  Xadrez Hanna","2131","Lançamentos","143","3","0","0"
"Calça Skinny Feminina Sophia","2226","Lançamentos","142","5","0","0"
"Regata Modeladora Núbia","1942","Feminino","142","10","0","0"
"Vestido Feminino Babado Emanuely","2276","Lançamentos","139","2","0","0"
"Camisete Feminina Roberta","2121","Mais Vendidos","138","5","0","0"
"T-Shirt Feminina Laura ","2240","Lançamentos","138","7","0","0"
"Bombacha Feminina Linho Marrom","1922","Feminino","133","0","0","0"
"Vestido Midi Feminino Núbia","1925","Outlet","131","1","0","0"
"Casaco Feminino Soft Danúbia","2114","Lançamentos","129","3","0","0"
"Jaqueta Feminina Softh Cut","1888","Outlet","123","3","0","0"
"Calça Skinny Feminina  Potros","1527","Feminino","118","5","0","0"
"Bombacha Feminina Xadrez Ana","2294","Lançamentos","117","3","0","0"
"Bombacha Feminina Grazi","1898","Feminino","114","2","0","0"
"Calça Skinny Feminina Linhas Continuas","1485","Feminino","113","0","0","0"
"Camisete Feminina Flor de Liz","1908","Outlet","113","3","0","0"
